"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2","1","C","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D12,D13","2","D_Schottky","","","","Diode_SMD:D_SOD-323_HandSoldering","~"
"J9","1","Conn_01x11_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~"
"J10","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"R1,R2,R13,R25","4","470R","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3,R4","2","47k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5,R7","2","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6,R16,R17,R21,R34,R35,R38,R39,R41,R42","10","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R33,R36","2","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV101,RV102","2","500k","","","","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"U2","1","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U18","1","LM13700","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
