"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"C1,C2,C3","3","100n","","","","Capacitor_SMD:C_1206_3216Metric"
"D12,D13","2","D_Schottky","","","","Diode_SMD:D_SOD-323_HandSoldering"
"J10","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical"
"J103,J105","2","Conn_01x09_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical"
"Q1,Q2","2","BC857","","","","Package_TO_SOT_SMD:SOT-23"
"R1,R2,R13,R25","4","470R","","","","Resistor_SMD:R_1206_3216Metric"
"R3,R4,R10,R22","4","47k","","","","Resistor_SMD:R_1206_3216Metric"
"R5,R7,R11,R12,R20,R26,R28,R83","8","10k","","","","Resistor_SMD:R_1206_3216Metric"
"R6,R8,R9,R14,R15,R16,R17,R18,R19,R21,R23,R24,R27,R29,R30,R31,R32,R34,R35,R38,R39,R41,R42","23","100k","","","","Resistor_SMD:R_1206_3216Metric"
"R33,R36,R37,R40,R43","5","1k","","","","Resistor_SMD:R_1206_3216Metric"
"RV101,RV102","2","500k","","","","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical"
"U1,U2","2","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"
"U3","1","TL072","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U18","1","LM13700","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm"
